Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1978","1978","ha","851850","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1979","1979","ha","952600","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1980","1980","ha","1022200","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1981","1981","ha","1140900","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1982","1982","ha","1109000","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1983","1983","ha","1074900","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1984","1984","ha","1149300","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1985","1985","ha","1123400","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1986","1986","ha","993800","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1987","1987","ha","999300","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1988","1988","ha","981400","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1989","1989","ha","1034600","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1990","1990","ha","1030000","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1991","1991","ha","1104800","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1992","1992","ha","857700","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1993","1993","ha","1012000","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1994","1994","ha","955000","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1995","1995","ha","1002500","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1996","1996","ha","1090000","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1997","1997","ha","1045100","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1998","1998","ha","1118300","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","1999","1999","ha","1148800","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2000","2000","ha","1106500","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2001","2001","ha","1267500","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2002","2002","ha","1283200","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2003","2003","ha","1226100","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2004","2004","ha","1072300","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2005","2005","ha","1084700","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2006","2006","ha","1060900","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2007","2007","ha","1368700","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2008","2008","ha","1168800","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2009","2009","ha","1142000","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2010","2010","ha","1202900","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2011","2011","ha","1201700","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2012","2012","ha","1417900","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2013","2013","ha","1480400","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2014","2014","ha","1226600","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2015","2015","ha","1311700","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2016","2016","ha","1317700","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2017","2017","ha","1406200","","Official data"
"QC","Crops","33","Canada","5312","Area harvested","56","Maize","2018","2018","ha","1430700","","Official data"
"QC","Crops","33","Canada","5419","Yield","56","Maize","1978","1978","hg/ha","52586","Fc","Calculated data"
"QC","Crops","33","Canada","5419","Yield","56","Maize","1979","1979","hg/ha","55386","Fc","Calculated data"
"QC","Crops","33","Canada","5419","Yield","56","Maize","1980","1980","hg/ha","56283","Fc","Calculated data"
"QC","Crops","33","Canada","5419","Yield","56","Maize","1981","1981","hg/ha","58573","Fc","Calculated data"
"QC","Crops","33","Canada","5419","Yield","56","Maize","1982","1982","hg/ha","58812","Fc","Calculated data"
"QC","Crops","33","Canada","5419","Yield","56","Maize","1983","1983","hg/ha","55177","Fc","Calculated data"
"QC","Crops","33","Canada","5419","Yield","56","Maize","1984","1984","hg/ha","58971","Fc","Calculated data"
"QC","Crops","33","Canada","5419","Yield","56","Maize","1985","1985","hg/ha","62043","Fc","Calculated data"
"QC","Crops","33","Canada","5419","Yield","56","Maize","1986","1986","hg/ha","59484","Fc","Calculated data"
"QC","Crops","33","Canada","5419","Yield","56","Maize","1987","1987","hg/ha","70197","Fc","Calculated data"
"QC","Crops","33","Canada","5419","Yield","56","Maize","1988","1988","hg/ha","54710","Fc","Calculated data"
